,roberta_neg,roberta_neu,roberta_pos
0,0.67672867,0.3354823,0.017800743
1,0.010504231,0.20485885,0.79436016
2,0.9635543,0.060054276,0.0017624409
3,0.1448558,0.8323238,0.06087724
4,0.7937797,0.20566237,0.027973358
5,0.8801605,0.1452397,0.0015260559
6,0.058504775,0.5775843,0.38974774
7,0.7886869,0.2370838,0.0027971156
8,0.61559635,0.3524312,0.06128943
9,0.51334846,0.46700898,0.05127494
10,0.8024362,0.20277274,0.022285199
11,0.021549184,0.21471179,0.7741087
12,0.3851158,0.6135051,0.036028273
13,0.035007395,0.88225555,0.12033084
14,0.9425195,0.07611658,0.006908521
15,0.9926721,0.028685827,0.003404575
16,0.9495486,0.070542544,0.005387136
17,0.87310785,0.1462792,0.007422068
18,0.03651826,0.7360032,0.25920826
19,0.9872006,0.032056358,0.0055181123
20,0.02804146,0.97565913,0.037503056
21,0.7070895,0.3131226,0.009582518
22,0.7932244,0.2143346,0.02019356
23,0.92339075,0.09824601,0.0043690307
24,0.9934049,0.027536973,0.0037908466
25,0.6472546,0.37007096,0.013416614
26,0.9256807,0.09726789,0.0030693277
27,0.64705914,0.37873062,0.0052971896
28,0.8600117,0.15829232,0.008694438
29,0.9396013,0.08441267,0.0017993683
30,0.120762564,0.7530305,0.16052282
31,0.103320785,0.8269024,0.10667861
32,0.31913736,0.597563,0.11581829
33,0.5392549,0.47236636,0.02081137
34,0.6387247,0.37229,0.019624706
35,0.9308678,0.090403244,0.004586934
36,0.8564481,0.16820832,0.0026614517
37,0.31321374,0.33460152,0.37396514
38,0.2980042,0.5119358,0.21864912
39,0.9601858,0.061412234,0.0037517757
40,0.5402406,0.299421,0.18581857
41,0.003116699,0.043099243,0.9568173
42,0.83009267,0.19058372,0.006949676
43,0.5224518,0.42635256,0.08139371
44,0.9681806,0.053134587,0.0038810815
45,0.87411445,0.14633836,0.006381505
46,0.9582284,0.06406696,0.003117505
47,0.8088882,0.19825119,0.020317776
48,0.5195219,0.48581976,0.027188608
49,0.9419148,0.07464028,0.008916281
50,0.9071116,0.108848006,0.010106671
51,0.4654915,0.49014482,0.07585009
52,0.981855,0.04087701,0.002278287
53,0.03599855,0.9163718,0.08662165
54,0.792356,0.22479175,0.011007008
55,0.9357715,0.0869286,0.0031283605
56,0.9132126,0.11120552,0.0018807547
57,0.019310173,0.28932956,0.7046886
58,0.6168477,0.3850049,0.028806347
59,0.0034168516,0.0019640597,0.9960002
60,0.036586404,0.84118927,0.15819757
61,0.69626766,0.32158208,0.012042025
62,0.02465329,0.15561709,0.827786
63,0.8517189,0.17090848,0.004692781
